data,TP,FP,TN,FN,Accuracy,Recall,Precision,F1,MCC,timestamp
test,305,12,119358,41,0.9995572855758629,0.8815028901734104,0.9621451104100947,0.9200603318250377,0.92072488380192,2026-01-27 10:07:09.052236
train,307,7,119363,39,0.9996157572922584,0.8872832369942196,0.9777070063694268,0.9303030303030303,0.9312120657547696,2026-01-27 10:07:09.052236
