data,TP,FP,TN,FN,Accuracy,Recall,Precision,F1,MCC,timestamp
test,307,13,119357,39,0.9995656386782051,0.8872832369942196,0.959375,0.9219219219219219,0.9224115591244987,2026-01-26 17:12:07.140009
train,309,9,119361,37,0.9996157572922584,0.8930635838150289,0.9716981132075472,0.9307228915662651,0.9313636299080256,2026-01-26 17:12:07.140009
